incident_county,incident_latitude,incident_longitude,incident_dateonly_created,Population
42,40.774,-122.309,10,180040
12,36.602575,-118.01651000000001,2,17987
34,34.288877,-116.94131100000001,4,2171603
18,37.116295,-119.63500400000001,4,157672
49,40.190062,-121.595555,5,63916
26,38.441792,-122.350844,4,139417
46,38.638828000000004,-122.655616,5,499942
31,34.288877,-116.94131100000001,5,2450758
33,37.160346000000004,-120.937494,5,61537
10,39.514139,-122.56086200000001,5,28047
34,34.1834,-117.4408,5,2171603
31,33.894055,-116.855019,5,2450758
13,34.7861,-118.9411,5,896764
53,34.7861,-118.9411,5,850967
31,33.655638,-116.161201,5,2450758
17,34.49149,-118.61004399999999,5,10105518
18,37.1927,-119.7917,5,157672
37,35.49864,-120.91375,5,284010
31,33.96201,-116.90721299999998,5,2450758
31,33.9582,-116.6534,5,2450758
36,38.049929999999996,-120.90325,5,752660
35,32.564465000000006,-116.900368,5,3343364
35,33.121109999999994,-116.52578999999999,5,3343364
37,35.5123,-120.6368,5,284010
31,33.963591,-117.18793400000001,5,2450758
35,33.044579999999996,-116.5209,5,3343364
39,34.55048,-119.82428999999999,5,446527
17,34.419284000000005,-118.58688000000001,5,10105518
39,34.611824,-120.074655,5,446527
37,35.15832,-120.05131000000002,6,284010
52,37.91529,-120.33313000000001,6,54539
3,39.434183000000004,-121.57680400000001,6,231256
31,33.99647,-116.84137,6,2450758
46,38.4229,-122.0437,6,499942
45,38.4229,-122.0437,6,446610
15,38.4229,-122.0437,6,64382
5,38.4229,-122.0437,6,21627
22,37.03776,-121.00693899999999,6,274765
15,38.992329999999995,-122.703193,6,64382
17,34.585595,-118.423176,5,10105518
0,37.775057000000004,-121.73721299999998,6,1666753
31,33.969359999999995,-117.1265,6,2450758
2,38.27783,-120.966016,6,39383
18,37.169379,-119.75636000000002,6,157672
9,36.772425,-119.62838899999998,6,994400
20,37.58202,-119.91071000000001,6,17471
29,38.729296999999995,-121.38086200000001,6,393149
9,36.763366999999995,-119.55824399999999,6,994400
31,34.001745,-117.302057,6,2450758
18,37.015575,-119.78106000000001,6,157672
45,38.08744,-122.13802,6,446610
9,37.03087,-119.463757,6,994400
9,36.7218,-119.2248,6,994400
15,38.980579999999996,-122.81796000000001,6,64382
34,34.071556,-117.048397,6,2171603
6,39.90465,-121.74367,7,1150215
25,36.1531,-120.8973,6,435594
6,37.96866,-121.91453,7,1150215
23,41.2415,-121.035,7,8777
49,40.012398,-122.079871,7,63916
0,37.7393,-121.5869,7,1666753
0,37.74241,-121.86216,7,1666753
35,32.95435,-116.47381000000001,7,3343364
37,35.62743,-120.83417,7,284010
55,39.205999999999996,-121.31634,7,78041
42,40.373000000000005,-122.7338,7,180040
8,38.774,-120.29799999999999,7,190678
40,37.1438,-121.7804,7,1937570
47,37.436,-121.1955,7,549815
31,33.7095,-116.72885,7,2450758
11,41.333,-123.376,8,136373
34,34.316,-117.352,7,2171603
35,32.612773,-116.70733500000001,7,3343364
9,37.279,-119.318,7,994400
44,41.32,-123.176,7,43724
3,39.6612,-121.50353999999999,8,231256
31,33.990128000000006,-117.164997,7,2450758
31,33.910270000000004,-116.99895,8,2450758
13,34.90327,-118.93388,7,896764
21,38.980846,-123.06767099999999,7,87606
13,34.882,-118.9194,7,896764
49,39.961309,-122.33087900000001,7,63916
46,38.17693,-122.51253,7,499942
8,38.63987,-121.08438000000001,7,190678
32,38.63987,-121.08438000000001,7,1540975
